YearStart,LocationAbbr,LocationDesc,stratum_category,stratum_value,Data_Value,high_risk_obesity,early_warning
2023,IN,Indiana,Income,"$25,000 - $34,999",41.9,1,
2024,IN,Indiana,Income,"$25,000 - $34,999",40.0,1,
2011,IN,Indiana,Income,"$35,000 - $49,999",30.3,0,1.0
2012,IN,Indiana,Income,"$35,000 - $49,999",33.8,1,
2013,IN,Indiana,Income,"$35,000 - $49,999",34.4,1,
2014,IN,Indiana,Income,"$35,000 - $49,999",34.8,1,
2015,IN,Indiana,Income,"$35,000 - $49,999",29.6,0,0.0
2016,IN,Indiana,Income,"$35,000 - $49,999",33.3,0,1.0
2017,IN,Indiana,Income,"$35,000 - $49,999",35.3,1,
2018,IN,Indiana,Income,"$35,000 - $49,999",33.3,0,1.0
2019,IN,Indiana,Income,"$35,000 - $49,999",38.9,1,
2020,IN,Indiana,Income,"$35,000 - $49,999",40.7,1,
2021,IN,Indiana,Income,"$35,000 - $49,999",37.4,1,
2022,IN,Indiana,Income,"$35,000 - $49,999",38.7,1,
2023,IN,Indiana,Income,"$35,000 - $49,999",40.8,1,
2024,IN,Indiana,Income,"$35,000 - $49,999",42.3,1,
2011,IN,Indiana,Income,"$50,000 - $74,999",32.0,0,1.0
2012,IN,Indiana,Income,"$50,000 - $74,999",35.2,1,
2013,IN,Indiana,Income,"$50,000 - $74,999",33.2,0,0.0
2014,IN,Indiana,Income,"$50,000 - $74,999",31.9,0,1.0
2015,IN,Indiana,Income,"$50,000 - $74,999",33.9,1,
2016,IN,Indiana,Income,"$50,000 - $74,999",34.6,1,
2017,IN,Indiana,Income,"$50,000 - $74,999",34.3,1,
2018,IN,Indiana,Income,"$50,000 - $74,999",37.1,1,
2019,IN,Indiana,Income,"$50,000 - $74,999",35.8,1,
2020,IN,Indiana,Income,"$50,000 - $74,999",39.4,1,
2021,IN,Indiana,Income,"$50,000 - $74,999",37.1,1,
2022,IN,Indiana,Income,"$50,000 - $74,999",39.8,1,
2023,IN,Indiana,Income,"$50,000 - $74,999",39.3,1,
2024,IN,Indiana,Income,"$50,000 - $74,999",44.1,1,
2011,IN,Indiana,Income,"$75,000 or greater",26.4,0,0.0
2012,IN,Indiana,Income,"$75,000 or greater",23.8,0,0.0
2013,IN,Indiana,Income,"$75,000 or greater",27.1,0,0.0
2014,IN,Indiana,Income,"$75,000 or greater",30.6,0,0.0
2015,IN,Indiana,Income,"$75,000 or greater",28.4,0,0.0
2016,IN,Indiana,Income,"$75,000 or greater",28.7,0,0.0
2017,IN,Indiana,Income,"$75,000 or greater",28.6,0,0.0
2018,IN,Indiana,Income,"$75,000 or greater",33.1,0,0.0
2019,IN,Indiana,Income,"$75,000 or greater",32.0,0,1.0
2020,IN,Indiana,Income,"$75,000 or greater",34.2,1,
2021,IN,Indiana,Income,"$75,000 or greater",39.0,1,
2022,IN,Indiana,Income,"$75,000 or greater",41.1,1,
2023,IN,Indiana,Income,"$75,000 or greater",35.4,1,
2024,IN,Indiana,Income,"$75,000 or greater",38.0,1,
2011,IN,Indiana,Income,Data not reported,27.5,0,0.0
2012,IN,Indiana,Income,Data not reported,26.7,0,0.0
2013,IN,Indiana,Income,Data not reported,26.8,0,0.0
2014,IN,Indiana,Income,Data not reported,27.6,0,0.0
2015,IN,Indiana,Income,Data not reported,26.2,0,0.0
2016,IN,Indiana,Income,Data not reported,27.2,0,0.0
2017,IN,Indiana,Income,Data not reported,30.5,0,0.0
2018,IN,Indiana,Income,Data not reported,29.7,0,0.0
2019,IN,Indiana,Income,Data not reported,31.5,0,0.0
2020,IN,Indiana,Income,Data not reported,32.6,0,0.0
2021,IN,Indiana,Income,Data not reported,31.4,0,1.0
2022,IN,Indiana,Income,Data not reported,34.3,1,
2023,IN,Indiana,Income,Data not reported,34.6,1,
2024,IN,Indiana,Income,Data not reported,34.9,1,
2011,IN,Indiana,Income,"Less than $15,000",35.0,1,
2012,IN,Indiana,Income,"Less than $15,000",36.9,1,
2013,IN,Indiana,Income,"Less than $15,000",37.1,1,
2014,IN,Indiana,Income,"Less than $15,000",40.3,1,
2015,IN,Indiana,Income,"Less than $15,000",32.3,0,1.0
2016,IN,Indiana,Income,"Less than $15,000",36.5,1,
2017,IN,Indiana,Income,"Less than $15,000",39.8,1,
2018,IN,Indiana,Income,"Less than $15,000",35.5,1,
2019,IN,Indiana,Income,"Less than $15,000",40.0,1,
2020,IN,Indiana,Income,"Less than $15,000",38.4,1,
2021,IN,Indiana,Income,"Less than $15,000",40.6,1,
2022,IN,Indiana,Income,"Less than $15,000",37.9,1,
2023,IN,Indiana,Income,"Less than $15,000",40.1,1,
2024,IN,Indiana,Income,"Less than $15,000",38.8,1,
2011,IN,Indiana,Race/Ethnicity,2 or more races,45.4,1,
2012,IN,Indiana,Race/Ethnicity,2 or more races,42.6,1,
2013,IN,Indiana,Race/Ethnicity,2 or more races,37.3,1,
2014,IN,Indiana,Race/Ethnicity,2 or more races,30.1,0,0.0
2015,IN,Indiana,Race/Ethnicity,2 or more races,33.4,0,1.0
2016,IN,Indiana,Race/Ethnicity,2 or more races,48.3,1,
2017,IN,Indiana,Race/Ethnicity,2 or more races,38.1,1,
2018,IN,Indiana,Race/Ethnicity,2 or more races,38.0,1,
2019,IN,Indiana,Race/Ethnicity,2 or more races,34.8,1,
2020,IN,Indiana,Race/Ethnicity,2 or more races,47.0,1,
2021,IN,Indiana,Race/Ethnicity,2 or more races,42.0,1,
2022,IN,Indiana,Race/Ethnicity,2 or more races,29.3,0,1.0
2023,IN,Indiana,Race/Ethnicity,2 or more races,34.4,1,
2024,IN,Indiana,Race/Ethnicity,2 or more races,42.5,1,
2011,IN,Indiana,Race/Ethnicity,American Indian/Alaska Native,37.9,1,
2013,IN,Indiana,Race/Ethnicity,American Indian/Alaska Native,44.7,1,
2014,IN,Indiana,Race/Ethnicity,American Indian/Alaska Native,39.2,1,
2016,IN,Indiana,Race/Ethnicity,American Indian/Alaska Native,30.6,0,0.0
2017,IN,Indiana,Race/Ethnicity,American Indian/Alaska Native,28.9,0,1.0
2018,IN,Indiana,Race/Ethnicity,American Indian/Alaska Native,57.0,1,
2019,IN,Indiana,Race/Ethnicity,American Indian/Alaska Native,33.1,0,1.0
2020,IN,Indiana,Race/Ethnicity,American Indian/Alaska Native,48.3,1,
2021,IN,Indiana,Race/Ethnicity,American Indian/Alaska Native,33.2,0,1.0
2023,IN,Indiana,Race/Ethnicity,American Indian/Alaska Native,43.8,1,
2024,IN,Indiana,Race/Ethnicity,American Indian/Alaska Native,18.2,0,
2012,IN,Indiana,Race/Ethnicity,Asian,14.7,0,0.0
2013,IN,Indiana,Race/Ethnicity,Asian,7.0,0,0.0
2014,IN,Indiana,Race/Ethnicity,Asian,10.4,0,0.0
2015,IN,Indiana,Race/Ethnicity,Asian,5.4,0,0.0
2016,IN,Indiana,Race/Ethnicity,Asian,8.5,0,0.0
2017,IN,Indiana,Race/Ethnicity,Asian,13.9,0,0.0
2018,IN,Indiana,Race/Ethnicity,Asian,15.2,0,0.0
2019,IN,Indiana,Race/Ethnicity,Asian,5.5,0,0.0
2020,IN,Indiana,Race/Ethnicity,Asian,4.2,0,0.0
2021,IN,Indiana,Race/Ethnicity,Asian,10.4,0,0.0
2022,IN,Indiana,Race/Ethnicity,Asian,9.3,0,0.0
2023,IN,Indiana,Race/Ethnicity,Asian,11.3,0,0.0
2024,IN,Indiana,Race/Ethnicity,Asian,12.5,0,
2011,IN,Indiana,Race/Ethnicity,Hispanic,34.7,1,
2012,IN,Indiana,Race/Ethnicity,Hispanic,30.3,0,1.0
2013,IN,Indiana,Race/Ethnicity,Hispanic,34.9,1,
2014,IN,Indiana,Race/Ethnicity,Hispanic,30.8,0,0.0
2015,IN,Indiana,Race/Ethnicity,Hispanic,28.5,0,0.0
2016,IN,Indiana,Race/Ethnicity,Hispanic,26.8,0,0.0
2017,IN,Indiana,Race/Ethnicity,Hispanic,29.3,0,1.0
2018,IN,Indiana,Race/Ethnicity,Hispanic,39.3,1,
2019,IN,Indiana,Race/Ethnicity,Hispanic,46.2,1,
2020,IN,Indiana,Race/Ethnicity,Hispanic,34.6,1,
2021,IN,Indiana,Race/Ethnicity,Hispanic,42.4,1,
2022,IN,Indiana,Race/Ethnicity,Hispanic,40.7,1,
2023,IN,Indiana,Race/Ethnicity,Hispanic,38.8,1,
2024,IN,Indiana,Race/Ethnicity,Hispanic,36.0,1,
2011,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,42.2,1,
2012,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,43.7,1,
2013,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,41.7,1,
2014,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,42.1,1,
2015,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,40.9,1,
2016,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,42.1,1,
2017,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,43.5,1,
2018,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,39.4,1,
2019,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,36.7,1,
2020,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,43.0,1,
2021,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,46.5,1,
2022,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,42.4,1,
2023,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,45.2,1,
2024,IN,Indiana,Race/Ethnicity,Non-Hispanic Black,45.4,1,
2011,IN,Indiana,Race/Ethnicity,Non-Hispanic White,29.5,0,0.0
2012,IN,Indiana,Race/Ethnicity,Non-Hispanic White,30.2,0,0.0
2013,IN,Indiana,Race/Ethnicity,Non-Hispanic White,30.6,0,0.0
2014,IN,Indiana,Race/Ethnicity,Non-Hispanic White,32.4,0,0.0
2015,IN,Indiana,Race/Ethnicity,Non-Hispanic White,30.8,0,0.0
2016,IN,Indiana,Race/Ethnicity,Non-Hispanic White,32.1,0,0.0
2017,IN,Indiana,Race/Ethnicity,Non-Hispanic White,33.3,0,1.0
2018,IN,Indiana,Race/Ethnicity,Non-Hispanic White,33.6,1,
2019,IN,Indiana,Race/Ethnicity,Non-Hispanic White,34.9,1,
2020,IN,Indiana,Race/Ethnicity,Non-Hispanic White,36.8,1,
2021,IN,Indiana,Race/Ethnicity,Non-Hispanic White,35.4,1,
2022,IN,Indiana,Race/Ethnicity,Non-Hispanic White,38.0,1,
2023,IN,Indiana,Race/Ethnicity,Non-Hispanic White,37.8,1,
2024,IN,Indiana,Race/Ethnicity,Non-Hispanic White,38.8,1,
2018,IN,Indiana,Race/Ethnicity,Other,33.3,0,1.0
2019,IN,Indiana,Race/Ethnicity,Other,41.4,1,
2020,IN,Indiana,Race/Ethnicity,Other,24.5,0,1.0
2021,IN,Indiana,Race/Ethnicity,Other,34.9,1,
2023,IN,Indiana,Race/Ethnicity,Other,39.3,1,
2024,IN,Indiana,Race/Ethnicity,Other,39.1,1,
2011,IN,Indiana,Sex,Female,30.8,0,0.0
2012,IN,Indiana,Sex,Female,30.9,0,0.0
2013,IN,Indiana,Sex,Female,32.6,0,0.0
2014,IN,Indiana,Sex,Female,33.0,0,0.0
2015,IN,Indiana,Sex,Female,30.7,0,0.0
2016,IN,Indiana,Sex,Female,32.6,0,1.0
2017,IN,Indiana,Sex,Female,33.7,1,
2018,IN,Indiana,Sex,Female,34.2,1,
2019,IN,Indiana,Sex,Female,35.7,1,
2020,IN,Indiana,Sex,Female,38.1,1,
2021,IN,Indiana,Sex,Female,38.2,1,
2022,IN,Indiana,Sex,Female,38.8,1,
2023,IN,Indiana,Sex,Female,40.5,1,
2024,IN,Indiana,Sex,Female,40.6,1,
2011,IN,Indiana,Sex,Male,30.9,0,0.0
2012,IN,Indiana,Sex,Male,31.8,0,0.0
2013,IN,Indiana,Sex,Male,31.1,0,0.0
2014,IN,Indiana,Sex,Male,32.5,0,0.0
2015,IN,Indiana,Sex,Male,31.9,0,0.0
2016,IN,Indiana,Sex,Male,32.3,0,0.0
2017,IN,Indiana,Sex,Male,33.5,0,1.0
2018,IN,Indiana,Sex,Male,33.9,1,
2019,IN,Indiana,Sex,Male,34.9,1,
2020,IN,Indiana,Sex,Male,35.4,1,
2021,IN,Indiana,Sex,Male,34.4,1,
2022,IN,Indiana,Sex,Male,36.6,1,
2023,IN,Indiana,Sex,Male,35.2,1,
2024,IN,Indiana,Sex,Male,36.4,1,
2011,IN,Indiana,Total,Total,30.8,0,0.0
2012,IN,Indiana,Total,Total,31.4,0,0.0
2013,IN,Indiana,Total,Total,31.8,0,0.0
2014,IN,Indiana,Total,Total,32.7,0,0.0
2015,IN,Indiana,Total,Total,31.3,0,0.0
2016,IN,Indiana,Total,Total,32.5,0,1.0
2017,IN,Indiana,Total,Total,33.6,1,
2018,IN,Indiana,Total,Total,34.1,1,
2019,IN,Indiana,Total,Total,35.3,1,
2020,IN,Indiana,Total,Total,36.8,1,
2021,IN,Indiana,Total,Total,36.3,1,
2022,IN,Indiana,Total,Total,37.7,1,
2023,IN,Indiana,Total,Total,37.8,1,
2024,IN,Indiana,Total,Total,38.4,1,
2011,KS,Kansas,Age (years),18 - 24,16.1,0,0.0
2012,KS,Kansas,Age (years),18 - 24,19.6,0,0.0
2013,KS,Kansas,Age (years),18 - 24,18.1,0,0.0
2014,KS,Kansas,Age (years),18 - 24,15.2,0,0.0
2015,KS,Kansas,Age (years),18 - 24,22.1,0,0.0
2016,KS,Kansas,Age (years),18 - 24,19.8,0,0.0
2017,KS,Kansas,Age (years),18 - 24,21.9,0,0.0
2018,KS,Kansas,Age (years),18 - 24,21.8,0,0.0
2019,KS,Kansas,Age (years),18 - 24,23.8,0,0.0
2020,KS,Kansas,Age (years),18 - 24,21.4,0,0.0
2021,KS,Kansas,Age (years),18 - 24,22.2,0,0.0
2022,KS,Kansas,Age (years),18 - 24,24.5,0,0.0
2023,KS,Kansas,Age (years),18 - 24,22.5,0,0.0
2024,KS,Kansas,Age (years),18 - 24,25.7,0,
2011,KS,Kansas,Age (years),25 - 34,28.8,0,0.0
2012,KS,Kansas,Age (years),25 - 34,30.2,0,0.0
2013,KS,Kansas,Age (years),25 - 34,28.9,0,0.0
2014,KS,Kansas,Age (years),25 - 34,30.0,0,1.0
2015,KS,Kansas,Age (years),25 - 34,35.8,1,
2016,KS,Kansas,Age (years),25 - 34,28.7,0,0.0
2017,KS,Kansas,Age (years),25 - 34,31.4,0,0.0
2018,KS,Kansas,Age (years),25 - 34,32.9,0,1.0
2019,KS,Kansas,Age (years),25 - 34,34.3,1,
2020,KS,Kansas,Age (years),25 - 34,36.6,1,
2021,KS,Kansas,Age (years),25 - 34,37.1,1,
2022,KS,Kansas,Age (years),25 - 34,37.2,1,
2023,KS,Kansas,Age (years),25 - 34,32.8,0,1.0
2024,KS,Kansas,Age (years),25 - 34,40.5,1,
2011,KS,Kansas,Age (years),35 - 44,32.9,0,0.0
2012,KS,Kansas,Age (years),35 - 44,33.0,0,1.0
2013,KS,Kansas,Age (years),35 - 44,34.5,1,
2014,KS,Kansas,Age (years),35 - 44,36.5,1,
2015,KS,Kansas,Age (years),35 - 44,38.0,1,
2016,KS,Kansas,Age (years),35 - 44,36.0,1,
2017,KS,Kansas,Age (years),35 - 44,35.6,1,
2018,KS,Kansas,Age (years),35 - 44,39.8,1,
2019,KS,Kansas,Age (years),35 - 44,39.8,1,
2020,KS,Kansas,Age (years),35 - 44,39.9,1,
2021,KS,Kansas,Age (years),35 - 44,40.9,1,
2022,KS,Kansas,Age (years),35 - 44,42.6,1,
2023,KS,Kansas,Age (years),35 - 44,44.0,1,
2024,KS,Kansas,Age (years),35 - 44,42.0,1,
2011,KS,Kansas,Age (years),45 - 54,34.8,1,
2012,KS,Kansas,Age (years),45 - 54,35.3,1,
2013,KS,Kansas,Age (years),45 - 54,34.1,1,
2014,KS,Kansas,Age (years),45 - 54,36.6,1,
2015,KS,Kansas,Age (years),45 - 54,39.1,1,
2016,KS,Kansas,Age (years),45 - 54,35.9,1,
2017,KS,Kansas,Age (years),45 - 54,39.2,1,
2018,KS,Kansas,Age (years),45 - 54,40.7,1,
2019,KS,Kansas,Age (years),45 - 54,39.7,1,
2020,KS,Kansas,Age (years),45 - 54,43.3,1,
2021,KS,Kansas,Age (years),45 - 54,42.7,1,
2022,KS,Kansas,Age (years),45 - 54,38.7,1,
2023,KS,Kansas,Age (years),45 - 54,40.7,1,
2024,KS,Kansas,Age (years),45 - 54,43.3,1,
2011,KS,Kansas,Age (years),55 - 64,36.0,1,
2012,KS,Kansas,Age (years),55 - 64,33.1,0,1.0
2013,KS,Kansas,Age (years),55 - 64,37.0,1,
2014,KS,Kansas,Age (years),55 - 64,38.4,1,
2015,KS,Kansas,Age (years),55 - 64,38.8,1,
2016,KS,Kansas,Age (years),55 - 64,36.8,1,
2017,KS,Kansas,Age (years),55 - 64,36.4,1,
2018,KS,Kansas,Age (years),55 - 64,39.5,1,
2019,KS,Kansas,Age (years),55 - 64,40.1,1,
2020,KS,Kansas,Age (years),55 - 64,39.5,1,
2021,KS,Kansas,Age (years),55 - 64,42.8,1,
2022,KS,Kansas,Age (years),55 - 64,40.4,1,
2023,KS,Kansas,Age (years),55 - 64,41.9,1,
2024,KS,Kansas,Age (years),55 - 64,41.0,1,
2011,KS,Kansas,Age (years),65 or older,26.3,0,0.0
2012,KS,Kansas,Age (years),65 or older,26.2,0,0.0
2013,KS,Kansas,Age (years),65 or older,25.9,0,0.0
2014,KS,Kansas,Age (years),65 or older,28.7,0,0.0
2015,KS,Kansas,Age (years),65 or older,30.5,0,0.0
2016,KS,Kansas,Age (years),65 or older,28.9,0,0.0
2017,KS,Kansas,Age (years),65 or older,29.3,0,0.0
2018,KS,Kansas,Age (years),65 or older,31.0,0,0.0
2019,KS,Kansas,Age (years),65 or older,32.9,0,0.0
2020,KS,Kansas,Age (years),65 or older,31.2,0,0.0
2021,KS,Kansas,Age (years),65 or older,31.1,0,0.0
2022,KS,Kansas,Age (years),65 or older,31.5,0,1.0
2023,KS,Kansas,Age (years),65 or older,33.9,1,
2024,KS,Kansas,Age (years),65 or older,33.6,1,
2011,KS,Kansas,Education,College graduate,24.9,0,0.0
2012,KS,Kansas,Education,College graduate,23.6,0,0.0
2013,KS,Kansas,Education,College graduate,25.1,0,0.0
2014,KS,Kansas,Education,College graduate,27.4,0,0.0
2015,KS,Kansas,Education,College graduate,30.0,0,0.0
2016,KS,Kansas,Education,College graduate,27.3,0,0.0
2017,KS,Kansas,Education,College graduate,27.4,0,0.0
2018,KS,Kansas,Education,College graduate,28.9,0,0.0
2019,KS,Kansas,Education,College graduate,31.2,0,0.0
2020,KS,Kansas,Education,College graduate,29.9,0,0.0
2021,KS,Kansas,Education,College graduate,30.1,0,0.0
2022,KS,Kansas,Education,College graduate,31.7,0,0.0
2023,KS,Kansas,Education,College graduate,31.8,0,0.0
2024,KS,Kansas,Education,College graduate,33.1,0,
2011,KS,Kansas,Education,High school graduate,31.5,0,0.0
2012,KS,Kansas,Education,High school graduate,31.4,0,0.0
2013,KS,Kansas,Education,High school graduate,31.0,0,0.0
2014,KS,Kansas,Education,High school graduate,33.4,0,1.0
2015,KS,Kansas,Education,High school graduate,36.4,1,
2016,KS,Kansas,Education,High school graduate,32.3,0,1.0
2017,KS,Kansas,Education,High school graduate,33.6,1,
2018,KS,Kansas,Education,High school graduate,37.3,1,
2019,KS,Kansas,Education,High school graduate,36.0,1,
2020,KS,Kansas,Education,High school graduate,36.3,1,
2021,KS,Kansas,Education,High school graduate,38.3,1,
2022,KS,Kansas,Education,High school graduate,38.6,1,
2023,KS,Kansas,Education,High school graduate,37.5,1,
2024,KS,Kansas,Education,High school graduate,40.2,1,
2011,KS,Kansas,Education,Less than high school,30.6,0,1.0
2012,KS,Kansas,Education,Less than high school,36.0,1,
2013,KS,Kansas,Education,Less than high school,35.1,1,
2014,KS,Kansas,Education,Less than high school,31.2,0,1.0
2015,KS,Kansas,Education,Less than high school,39.3,1,
2016,KS,Kansas,Education,Less than high school,30.4,0,1.0
2017,KS,Kansas,Education,Less than high school,35.9,1,
2018,KS,Kansas,Education,Less than high school,32.4,0,0.0
2019,KS,Kansas,Education,Less than high school,32.0,0,1.0
2020,KS,Kansas,Education,Less than high school,36.5,1,
2021,KS,Kansas,Education,Less than high school,39.5,1,
2022,KS,Kansas,Education,Less than high school,35.1,1,
2023,KS,Kansas,Education,Less than high school,35.3,1,
2024,KS,Kansas,Education,Less than high school,38.9,1,
2011,KS,Kansas,Education,Some college or technical school,31.3,0,0.0
2012,KS,Kansas,Education,Some college or technical school,31.6,0,0.0
2013,KS,Kansas,Education,Some college or technical school,31.4,0,0.0
2014,KS,Kansas,Education,Some college or technical school,32.7,0,1.0
2015,KS,Kansas,Education,Some college or technical school,34.5,1,
2016,KS,Kansas,Education,Some college or technical school,33.6,1,
2017,KS,Kansas,Education,Some college or technical school,34.4,1,
2018,KS,Kansas,Education,Some college or technical school,37.4,1,
2019,KS,Kansas,Education,Some college or technical school,39.1,1,
2020,KS,Kansas,Education,Some college or technical school,38.8,1,
2021,KS,Kansas,Education,Some college or technical school,38.8,1,
2022,KS,Kansas,Education,Some college or technical school,37.3,1,
2023,KS,Kansas,Education,Some college or technical school,38.6,1,
2024,KS,Kansas,Education,Some college or technical school,39.3,1,
2011,KS,Kansas,Income,"$15,000 - $24,999",31.8,0,1.0
2012,KS,Kansas,Income,"$15,000 - $24,999",34.2,1,
2013,KS,Kansas,Income,"$15,000 - $24,999",33.6,1,
2014,KS,Kansas,Income,"$15,000 - $24,999",34.0,1,
2015,KS,Kansas,Income,"$15,000 - $24,999",37.7,1,
2016,KS,Kansas,Income,"$15,000 - $24,999",34.7,1,
2017,KS,Kansas,Income,"$15,000 - $24,999",36.9,1,
2018,KS,Kansas,Income,"$15,000 - $24,999",38.3,1,
2019,KS,Kansas,Income,"$15,000 - $24,999",36.9,1,
2020,KS,Kansas,Income,"$15,000 - $24,999",40.3,1,
2021,KS,Kansas,Income,"$15,000 - $24,999",37.5,1,
2022,KS,Kansas,Income,"$15,000 - $24,999",39.5,1,
2023,KS,Kansas,Income,"$15,000 - $24,999",36.3,1,
2024,KS,Kansas,Income,"$15,000 - $24,999",36.5,1,
2011,KS,Kansas,Income,"$25,000 - $34,999",30.9,0,0.0
2012,KS,Kansas,Income,"$25,000 - $34,999",33.2,0,0.0
2013,KS,Kansas,Income,"$25,000 - $34,999",31.1,0,1.0
2014,KS,Kansas,Income,"$25,000 - $34,999",36.7,1,
2015,KS,Kansas,Income,"$25,000 - $34,999",38.0,1,
2016,KS,Kansas,Income,"$25,000 - $34,999",33.2,0,0.0
2017,KS,Kansas,Income,"$25,000 - $34,999",33.4,0,1.0
2018,KS,Kansas,Income,"$25,000 - $34,999",36.0,1,
2019,KS,Kansas,Income,"$25,000 - $34,999",36.6,1,
2020,KS,Kansas,Income,"$25,000 - $34,999",37.9,1,
2021,KS,Kansas,Income,"$25,000 - $34,999",40.3,1,
2022,KS,Kansas,Income,"$25,000 - $34,999",38.3,1,
2023,KS,Kansas,Income,"$25,000 - $34,999",40.7,1,
2024,KS,Kansas,Income,"$25,000 - $34,999",39.5,1,
2011,KS,Kansas,Income,"$35,000 - $49,999",32.7,0,0.0
2012,KS,Kansas,Income,"$35,000 - $49,999",30.8,0,0.0
2013,KS,Kansas,Income,"$35,000 - $49,999",31.7,0,0.0
2014,KS,Kansas,Income,"$35,000 - $49,999",33.2,0,1.0
2015,KS,Kansas,Income,"$35,000 - $49,999",37.3,1,
2016,KS,Kansas,Income,"$35,000 - $49,999",34.8,1,
2017,KS,Kansas,Income,"$35,000 - $49,999",36.3,1,
2018,KS,Kansas,Income,"$35,000 - $49,999",33.3,0,1.0
2019,KS,Kansas,Income,"$35,000 - $49,999",38.1,1,
2020,KS,Kansas,Income,"$35,000 - $49,999",36.4,1,
2021,KS,Kansas,Income,"$35,000 - $49,999",36.1,1,
2022,KS,Kansas,Income,"$35,000 - $49,999",38.0,1,
2023,KS,Kansas,Income,"$35,000 - $49,999",37.9,1,
2024,KS,Kansas,Income,"$35,000 - $49,999",41.1,1,
2011,KS,Kansas,Income,"$50,000 - $74,999",31.0,0,0.0
2012,KS,Kansas,Income,"$50,000 - $74,999",30.8,0,0.0
2013,KS,Kansas,Income,"$50,000 - $74,999",30.6,0,0.0
2014,KS,Kansas,Income,"$50,000 - $74,999",33.0,0,1.0
2015,KS,Kansas,Income,"$50,000 - $74,999",34.3,1,
2016,KS,Kansas,Income,"$50,000 - $74,999",32.8,0,0.0
2017,KS,Kansas,Income,"$50,000 - $74,999",33.3,0,1.0
2018,KS,Kansas,Income,"$50,000 - $74,999",37.1,1,
2019,KS,Kansas,Income,"$50,000 - $74,999",37.0,1,
2020,KS,Kansas,Income,"$50,000 - $74,999",36.3,1,
2021,KS,Kansas,Income,"$50,000 - $74,999",39.1,1,
2022,KS,Kansas,Income,"$50,000 - $74,999",39.0,1,
2023,KS,Kansas,Income,"$50,000 - $74,999",37.7,1,
2024,KS,Kansas,Income,"$50,000 - $74,999",41.0,1,
2011,KS,Kansas,Income,"$75,000 or greater",25.6,0,0.0
2012,KS,Kansas,Income,"$75,000 or greater",24.0,0,0.0
2013,KS,Kansas,Income,"$75,000 or greater",26.2,0,0.0
2014,KS,Kansas,Income,"$75,000 or greater",27.7,0,0.0
2015,KS,Kansas,Income,"$75,000 or greater",31.0,0,0.0
2016,KS,Kansas,Income,"$75,000 or greater",27.3,0,0.0
2017,KS,Kansas,Income,"$75,000 or greater",29.3,0,0.0
2018,KS,Kansas,Income,"$75,000 or greater",31.9,0,1.0
2019,KS,Kansas,Income,"$75,000 or greater",34.4,1,
2020,KS,Kansas,Income,"$75,000 or greater",34.2,1,
2021,KS,Kansas,Income,"$75,000 or greater",38.0,1,
2022,KS,Kansas,Income,"$75,000 or greater",36.6,1,
2023,KS,Kansas,Income,"$75,000 or greater",34.0,1,
2024,KS,Kansas,Income,"$75,000 or greater",41.3,1,
2011,KS,Kansas,Income,Data not reported,24.4,0,0.0
2012,KS,Kansas,Income,Data not reported,25.2,0,0.0
2013,KS,Kansas,Income,Data not reported,25.5,0,0.0
2014,KS,Kansas,Income,Data not reported,25.7,0,0.0
2015,KS,Kansas,Income,Data not reported,29.6,0,0.0
2016,KS,Kansas,Income,Data not reported,26.4,0,0.0
2017,KS,Kansas,Income,Data not reported,25.8,0,0.0
2018,KS,Kansas,Income,Data not reported,28.8,0,0.0
2019,KS,Kansas,Income,Data not reported,27.8,0,0.0
2020,KS,Kansas,Income,Data not reported,29.3,0,0.0
2021,KS,Kansas,Income,Data not reported,31.8,0,0.0
2022,KS,Kansas,Income,Data not reported,31.7,0,1.0
2023,KS,Kansas,Income,Data not reported,33.7,1,
2024,KS,Kansas,Income,Data not reported,34.2,1,
2011,KS,Kansas,Income,"Less than $15,000",35.8,1,
2012,KS,Kansas,Income,"Less than $15,000",36.5,1,
2013,KS,Kansas,Income,"Less than $15,000",35.3,1,
2014,KS,Kansas,Income,"Less than $15,000",34.7,1,
2015,KS,Kansas,Income,"Less than $15,000",38.4,1,
2016,KS,Kansas,Income,"Less than $15,000",37.0,1,
2017,KS,Kansas,Income,"Less than $15,000",39.0,1,
2018,KS,Kansas,Income,"Less than $15,000",41.7,1,
2019,KS,Kansas,Income,"Less than $15,000",40.2,1,
2020,KS,Kansas,Income,"Less than $15,000",38.0,1,
2021,KS,Kansas,Income,"Less than $15,000",41.2,1,
2022,KS,Kansas,Income,"Less than $15,000",36.8,1,
2023,KS,Kansas,Income,"Less than $15,000",44.3,1,
2024,KS,Kansas,Income,"Less than $15,000",32.2,0,
2011,KS,Kansas,Race/Ethnicity,2 or more races,33.5,0,1.0
